,count,mean,std,min,25%,50%,75%,max
drip_ship_utility_shift,32843.0,0.08690515618630673,0.0061520807586599975,0.0590268896255196,0.0837716576560778,0.087757964439124,0.0913298204256515,0.097967807486248
mothership_utility_shift,32843.0,0.09502324370178376,0.009531804804128043,0.0455557522154286,0.0905262311248944,0.0972825040155644,0.1018918376852758,0.108578472777978
msu_utility_shift,32843.0,0.10903528311650221,0.012686539079595641,0.0489850064662984,0.1032167391267401,0.1122530583827651,0.1184436258052778,0.1274575271653732
msu_net_utility_benefit,32843.0,0.022130126930195417,0.00825811524053671,-0.0273249328671888,0.0188430516406789,0.0252773388193362,0.0278414680293171,0.0354327140808444
nlvo_drip_ship_ivt_improvement_over_no_treatment,32843.0,0.09585656831212924,0.003915691573296671,0.0695002811203845,0.0937054217887961,0.0967640541603965,0.0987792002786561,0.1022780744920736
nlvo_msu_ivt_improvement_over_no_treatment,32843.0,0.11201744011913974,0.009165533168393896,0.0645014876763473,0.1075109761305496,0.1144295234789666,0.1187831535509132,0.1250684167190011
lvo_drip_ship_ivt_improvement_over_no_treatment,32843.0,0.04452591194323474,0.002343962897473836,0.0291605189603085,0.0432209558193903,0.0450612449139499,0.0462819853452385,0.0484174692284437
lvo_msu_ivt_improvement_over_no_treatment,32843.0,0.054545141158819845,0.00567701815933014,0.0263608648625485,0.0516499008284159,0.0559970989360895,0.0587771713926822,0.0628538064794899
no_treatment_mrs_0-2,32843.0,0.4855,2.4591814382707483e-13,0.4855,0.4855,0.4855,0.4855,0.4855
drip_ship_mrs_0-2,32843.0,0.5785109585334575,0.006537910527251381,0.548922912582312,0.575208745922335,0.5793176296272692,0.5831447308569606,0.590311542406927
drip_ship_mrs_0-2_improvement_over_no_treatment,32843.0,0.09301095853345744,0.006537910527251401,0.0634229125823119,0.0897087459223349,0.0938176296272692,0.0976447308569606,0.1048115424069269
mothership_mrs_0-2,32843.0,0.5869543782882554,0.01028471283118514,0.5339473054058916,0.5820751742051369,0.5893820026997072,0.5943764706822858,0.6016346285755324
mothership_mrs_0-2_improvement_over_no_treatment,32843.0,0.10145437828825532,0.010284712831186192,0.0484473054058916,0.0965751742051369,0.1038820026997072,0.1088764706822858,0.1161346285755324
msu_mrs_0-2,32843.0,0.6023207758304181,0.01363254642364663,0.5385593008322077,0.5960028735473565,0.605756046676399,0.6124603885155824,0.6222509794904941
msu_mrs_0-2_improvement_over_no_treatment,32843.0,0.116820775830418,0.013632546423646825,0.0530593008322077,0.1105028735473565,0.120256046676399,0.1269603885155824,0.1367509794904941
msu_mrs_0-2_benefit,32843.0,0.02380981729696053,0.008916187555416738,-0.0288733752887274,0.0201737424711085,0.0271631169518243,0.0300776828819733,0.0379507946901038
nlvo_msu_ivt_utility_benefit,32843.0,0.014762151024068063,0.0075617693624525605,-0.0266485443071857,0.0113196064978704,0.0169595031652047,0.02092742910107,0.0219209585787679
lvo_msu_ivt_utility_benefit,32843.0,0.009515686109747524,0.004865960219046879,-0.0161543168223659,0.00718140835803715,0.0109387001464394,0.0136048066925981,0.0137103563723831
lvo_msu_ivt_mt_utility_benefit,32843.0,0.03932207071115922,0.011032452929509324,-0.0300582241503276,0.0349013821302213,0.0419275146678371,0.0458892479440148,0.0683185566207891
nlvo_msu_ivt_mrs_0-2_benefit,32843.0,0.016160871807010438,0.00827581970081113,-0.0290121693631644,0.0123621654424815,0.0185731240156654,0.0229315924715662,0.0238718793264436
lvo_msu_ivt_mrs_0-2_benefit,32843.0,0.010019229215585046,0.005123041678716041,-0.0169935889849582,0.0075617665555578,0.0115167578381993,0.0143248127338532,0.0144363372510462
lvo_msu_ivt_mt_mrs_0-2_benefit,32843.0,0.04160421936249871,0.011811009643544547,-0.0298015885325104,0.0368763705003696,0.0444686218453475,0.0489932779143409,0.0707561958027335
count,32843.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
normalised_count,32843.0,3.044788843893675e-05,1.8740042224583346e-17,3.044788843893676e-05,3.044788843893676e-05,3.044788843893676e-05,3.044788843893676e-05,3.044788843893676e-05
normalised_admissions,32843.0,3.0447888438936767e-05,1.7516534476885787e-05,1.2346761259321637e-06,1.6462348341646593e-05,2.880910960096823e-05,4.115587086028987e-05,0.00023870405097239572
change_in_time_to_IVT,32843.0,-34.979864811375336,17.896510425127268,-50.000000000000014,-50.0,-40.3,-26.400000000000006,60.70000000000002
change_in_time_to_MT,32843.0,-67.49842888895654,18.54048751273782,-126.39999999999998,-78.20000000000002,-71.29999999999998,-60.599999999999966,62.60000000000002
